".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","PD","9","23",9,38,-3.16071730354141,17.3574692824008,0.006,0.05,"ns"
"2","PD","9","38",9,27,-2.60216690953422,28.182303406201,0.015,0.117,"ns"
"3","PD","9","53",9,34,-2.1771306817954,24.1369830571134,0.04,0.276,"ns"
"4","PD","9","65",9,15,-5.80220367870766,21.8472644628237,7.96e-06,0.000119,"***"
"5","PD","9","80",9,14,-3.68432038806354,13.9284272017017,0.002,0.025,"*"
"6","PD","23","38",38,27,-0.0644037289380978,45.1713768697947,0.949,1,"ns"
"7","PD","23","53",38,34,0.747495712383016,63.1228290524206,0.458,1,"ns"
"8","PD","23","65",38,15,-3.91012057808473,21.2476296657812,0.000791,0.01,"*"
"9","PD","23","80",38,14,-0.457164437325808,44.0035162520549,0.65,1,"ns"
"10","PD","38","53",27,34,0.653078748535505,53.6408871859783,0.516,1,"ns"
"11","PD","38","65",27,15,-3.36211185856766,30.8256825107807,0.002,0.023,"*"
"12","PD","38","80",27,14,-0.262686523498566,36.8470118245133,0.794,1,"ns"
"13","PD","53","65",34,15,-4.1636421251045,26.5498511432366,0.000295,0.004,"**"
"14","PD","53","80",34,14,-1.16909801901798,45.96810725672,0.248,1,"ns"
"15","PD","65","80",15,14,3.74416347649408,18.8244969495889,0.001,0.017,"*"
