"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","9 vs 38",1,0.198306984913381,9.40246105154092,0.216634283488565,1e-04,0.0015,"*"
"2","9 vs 23",1,0.230900160445239,15.8538830700208,0.338368605358235,1e-04,0.0015,"*"
"3","9 vs 53",1,0.200588799601879,10.6985856423707,0.206941553805341,1e-04,0.0015,"*"
"4","9 vs 80",1,0.221955037636901,18.5647256386662,0.469224172264272,1e-04,0.0015,"*"
"5","9 vs 65",1,0.192733038881657,14.3354876509633,0.39453131298716,1e-04,0.0015,"*"
"6","38 vs 23",1,0.108148865392458,6.12010371016734,0.111032151578453,1e-04,0.0015,"*"
"7","38 vs 53",1,0.134923479168825,6.72847591672011,0.102367745834321,1e-04,0.0015,"*"
"8","38 vs 80",1,0.208832230074686,12.2388115758136,0.238858224838118,1e-04,0.0015,"*"
"9","38 vs 65",1,0.11744013549082,6.61476905321313,0.141902860135637,1e-04,0.0015,"*"
"10","23 vs 53",1,0.166245688369446,10.1468407969408,0.153398721309908,1e-04,0.0015,"*"
"11","23 vs 80",1,0.224831508859454,20.2418793801516,0.359907592051328,1e-04,0.0015,"*"
"12","23 vs 65",1,0.133574556297509,11.1169759256427,0.231040619485777,1e-04,0.0015,"*"
"13","53 vs 80",1,0.108524879040802,6.96175337095106,0.131448695102483,1e-04,0.0015,"*"
"14","53 vs 65",1,0.0750383935762722,4.62963257892075,0.0896700663488923,1e-04,0.0015,"*"
"15","80 vs 65",1,0.0562898803463589,6.22504961468178,0.187360129988519,1e-04,0.0015,"*"
