".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","log_copies","9","23",9,24,102,0.827,1,"ns"
"2","log_copies","9","38",9,26,65,0.051,0.355,"ns"
"3","log_copies","9","53",9,34,93,0.075,0.355,"ns"
"4","log_copies","9","65",9,15,5,2.91e-05,0.000407,"***"
"5","log_copies","9","80",9,14,18,0.003,0.032,"*"
"6","log_copies","23","38",24,26,183,0.012,0.094,"ns"
"7","log_copies","23","53",24,34,224,0.003,0.032,"*"
"8","log_copies","23","65",24,15,13,2.97e-08,4.46e-07,"****"
"9","log_copies","23","80",24,14,42,5e-05,0.00065,"***"
"10","log_copies","38","53",26,34,443,0.994,1,"ns"
"11","log_copies","38","65",26,15,67,0.00031,0.004,"**"
"12","log_copies","38","80",26,14,113,0.051,0.355,"ns"
"13","log_copies","53","65",34,15,95,0.000312,0.004,"**"
"14","log_copies","53","80",34,14,158,0.071,0.355,"ns"
"15","log_copies","65","80",15,14,134,0.217,0.651,"ns"
